"YEARLAND","SNAPPER,RED"
1986,3747258
1987,3066519
1988,3983543
1989,3101648
1990,2660318
1991,2240375
1992,3118188
1993,3423412
1994,3251008
1995,2945613
1996,4334123
1997,4813629
1998,4689316
1999,4883581
2000,4838976
2001,4638087
2002,4797144
2003,4432297
2004,4667062
2005,4105622
2006,4679893
2007,3078197
2008,2424340
2009,2501017
2010,3323293
2011,3570382
2012,4041421
2013,5459972
2014,5737210
2015,6941820
