Year,FloridaDays,AlabamaDays,MississippiDays,LouisianaDays,TexasDays,FloridaDates,AlabamaDates,MississippiDates,LouisianaDates,TexasDates
2014,,,,,365,,,,,
2015,,,,,365,"5/23 - 7/12, 9/5 - 9/7, Saturdays and Sundays in September and October including Labor Day and Sunday, 10/1",,,,
2016,,,,,365,,,,,
